"date","prec","tmin","tmax","bullet","color","um"
"Gio 1","3","7.3","22.4","https://www.3bmeteo.com/images/set_icone/9/3.png","#1461A1","mm"
"Ven 2","25","10.7","16.0","https://www.3bmeteo.com/images/set_icone/9/5.png","#1461A1","mm"
"Sab 3","8","9.7","21.4","https://www.3bmeteo.com/images/set_icone/9/5.png","#1461A1","mm"
"Dom 4","2","9.7","22.4","https://www.3bmeteo.com/images/set_icone/9/3.png","#1461A1","mm"
"Lun 5","0","11.6","22.1","https://www.3bmeteo.com/images/set_icone/9/50.png","#1461A1","mm"
"Mar 6","0","10.6","22.3","https://www.3bmeteo.com/images/set_icone/9/51.png","#1461A1","mm"
"Mer 7","3","13.2","19.0","https://www.3bmeteo.com/images/set_icone/9/3.png","#1461A1","mm"
"Gio 8","0","9.0","22.3","https://www.3bmeteo.com/images/set_icone/9/45.png","#1461A1","mm"
"Ven 9","0","12.5","24.1","https://www.3bmeteo.com/images/set_icone/9/44.png","#1461A1","mm"
"Sab 10","0","12.6","25.1","https://www.3bmeteo.com/images/set_icone/9/51.png","#1461A1","mm"
"Dom 11","3","14.1","22.2","https://www.3bmeteo.com/images/set_icone/9/28.png","#1461A1","mm"
"Lun 12","0","9.2","21.3","https://www.3bmeteo.com/images/set_icone/9/51.png","#1461A1","mm"
"Mar 13","8","9.5","20.4","https://www.3bmeteo.com/images/set_icone/9/5.png","#1461A1","mm"
"Mer 14","0","9.5","23.5","https://www.3bmeteo.com/images/set_icone/9/50.png","#1461A1","mm"
"Gio 15","0","10.3","22.4","https://www.3bmeteo.com/images/set_icone/9/50.png","#1461A1","mm"
"Ven 16","0","8.2","23.4","https://www.3bmeteo.com/images/set_icone/9/51.png","#1461A1","mm"
"Sab 17","0","9.8","23.5","https://www.3bmeteo.com/images/set_icone/9/44.png","#1461A1","mm"
"Dom 18","0","10.3","24.5","https://www.3bmeteo.com/images/set_icone/9/44.png","#1461A1","mm"
"Lun 19","0","9.5","22.5","https://www.3bmeteo.com/images/set_icone/9/2.png","#1461A1","mm"
"Mar 20","1","13.1","23.0","https://www.3bmeteo.com/images/set_icone/9/68.png","#1461A1","mm"
"Mer 21","0","11.8","26.1","https://www.3bmeteo.com/images/set_icone/9/2.png","#1461A1","mm"
"Gio 22","10","16.1","25.3","https://www.3bmeteo.com/images/set_icone/9/5.png","#1461A1","mm"
"Ven 23","3","16.2","25.1","https://www.3bmeteo.com/images/set_icone/9/3.png","#1461A1","mm"
"Sab 24","0","12.8","24.1","https://www.3bmeteo.com/images/set_icone/9/45.png","#1461A1","mm"
"Dom 25","0","12.2","26.1","https://www.3bmeteo.com/images/set_icone/9/51.png","#1461A1","mm"
"Lun 26","4","14.7","22.1","https://www.3bmeteo.com/images/set_icone/9/3.png","#1461A1","mm"
"Mar 27","6","13.3","22.2","https://www.3bmeteo.com/images/set_icone/9/3.png","#1461A1","mm"
"Mer 28","2","11.8","24.4","https://www.3bmeteo.com/images/set_icone/9/3.png","#1461A1","mm"
"Gio 29","4","13.3","24.2","https://www.3bmeteo.com/images/set_icone/9/28.png","#1461A1","mm"
"Ven 30","10","12.8","25.1","https://www.3bmeteo.com/images/set_icone/9/5.png","#1461A1","mm"
"Sab 31","3","12.0","22.1","https://www.3bmeteo.com/images/set_icone/9/3.png","#1461A1","mm"
